127.0.0.1, 2017-12-23 14:57:42, GET, /, HTTP/1.1, 303, 0.001402
127.0.0.1, 2017-12-23 14:57:45, GET, /welcome/default/index, HTTP/1.1, 200, 2.947288
127.0.0.1, 2017-12-23 14:57:46, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000725
127.0.0.1, 2017-12-23 14:57:46, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000728
127.0.0.1, 2017-12-23 14:57:46, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000701
127.0.0.1, 2017-12-23 14:57:46, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001368
127.0.0.1, 2017-12-23 14:57:46, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001163
127.0.0.1, 2017-12-23 14:57:46, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.004078
127.0.0.1, 2017-12-23 14:57:46, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003816
127.0.0.1, 2017-12-23 14:57:46, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.003476
127.0.0.1, 2017-12-23 14:57:46, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001522
127.0.0.1, 2017-12-23 14:57:46, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.003831
127.0.0.1, 2017-12-23 14:57:46, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000989
127.0.0.1, 2017-12-23 14:57:46, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000710
127.0.0.1, 2017-12-23 14:57:47, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000663
127.0.0.1, 2017-12-23 14:57:47, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000579
127.0.0.1, 2017-12-23 14:57:47, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000614
127.0.0.1, 2017-12-23 15:23:24, GET, /, HTTP/1.1, 303, 0.001547
127.0.0.1, 2017-12-23 15:23:24, GET, /welcome/default/index, HTTP/1.1, 200, 0.176535
127.0.0.1, 2017-12-23 15:23:24, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000593
127.0.0.1, 2017-12-23 15:23:24, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000589
127.0.0.1, 2017-12-23 15:23:24, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.003659
127.0.0.1, 2017-12-23 15:23:24, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001667
127.0.0.1, 2017-12-23 15:23:24, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000533
127.0.0.1, 2017-12-23 15:23:24, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001949
127.0.0.1, 2017-12-23 15:23:24, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.004045
127.0.0.1, 2017-12-23 15:23:24, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000581
127.0.0.1, 2017-12-23 15:23:24, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000726
127.0.0.1, 2017-12-23 15:23:24, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000799
127.0.0.1, 2017-12-23 15:23:24, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000660
127.0.0.1, 2017-12-23 15:23:24, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001061
127.0.0.1, 2017-12-23 15:23:24, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000701
127.0.0.1, 2017-12-23 15:23:29, GET, /admin/default/index, HTTP/1.1, 200, 0.206800
127.0.0.1, 2017-12-23 15:23:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000526
127.0.0.1, 2017-12-23 15:23:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.033866
127.0.0.1, 2017-12-23 15:23:56, GET, /, HTTP/1.1, 303, 0.000986
127.0.0.1, 2017-12-23 15:23:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.040206
127.0.0.1, 2017-12-23 15:23:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.031504
127.0.0.1, 2017-12-23 15:23:58, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000720
127.0.0.1, 2017-12-23 15:23:58, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001517
127.0.0.1, 2017-12-23 15:23:58, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000623
127.0.0.1, 2017-12-23 15:23:58, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000634
127.0.0.1, 2017-12-23 15:23:58, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000630
127.0.0.1, 2017-12-23 15:23:58, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000620
127.0.0.1, 2017-12-23 15:23:58, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.004539
127.0.0.1, 2017-12-23 15:23:58, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000717
127.0.0.1, 2017-12-23 15:23:58, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000653
127.0.0.1, 2017-12-23 15:23:58, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.004448
127.0.0.1, 2017-12-23 15:23:58, GET, /admin/default/index, HTTP/1.1, 200, 0.097875
127.0.0.1, 2017-12-23 15:23:58, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.000669
127.0.0.1, 2017-12-23 15:23:58, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.000709
127.0.0.1, 2017-12-23 15:23:58, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000813
127.0.0.1, 2017-12-23 15:23:58, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.000540
127.0.0.1, 2017-12-23 15:23:58, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.001408
127.0.0.1, 2017-12-23 15:23:58, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000875
127.0.0.1, 2017-12-23 15:23:58, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.003476
127.0.0.1, 2017-12-23 15:23:58, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.004490
127.0.0.1, 2017-12-23 15:23:58, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001124
127.0.0.1, 2017-12-23 15:23:59, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.000664
127.0.0.1, 2017-12-23 15:23:59, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.001913
127.0.0.1, 2017-12-23 15:23:59, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001388
127.0.0.1, 2017-12-23 15:23:59, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002547
127.0.0.1, 2017-12-23 15:23:59, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.000706
127.0.0.1, 2017-12-23 15:23:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000403
127.0.0.1, 2017-12-23 15:24:01, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000535
127.0.0.1, 2017-12-23 15:24:01, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000429
127.0.0.1, 2017-12-23 15:24:01, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000627
127.0.0.1, 2017-12-23 15:24:03, POST, /admin/default/index, HTTP/1.1, 303, 0.018224
127.0.0.1, 2017-12-23 15:24:04, GET, /admin/default/site, HTTP/1.1, 200, 0.075750
127.0.0.1, 2017-12-23 15:24:04, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.000671
127.0.0.1, 2017-12-23 15:24:04, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.000694
127.0.0.1, 2017-12-23 15:24:04, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000593
127.0.0.1, 2017-12-23 15:24:05, POST, /admin/default/check_version, HTTP/1.1, 200, 0.679499
127.0.0.1, 2017-12-23 15:38:46, POST, /admin/default/site, HTTP/1.1, 303, 0.087976
127.0.0.1, 2017-12-23 15:38:46, GET, /admin/default/design/MyApp, HTTP/1.1, 200, 0.202062
127.0.0.1, 2017-12-23 15:38:46, GET, /admin/static/_2.16.1/images/search.png, HTTP/1.1, 200, 0.000677
127.0.0.1, 2017-12-23 15:38:46, GET, /admin/static/_2.16.1/images/test_icon.png, HTTP/1.1, 200, 0.001020
127.0.0.1, 2017-12-23 15:38:46, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.001462
127.0.0.1, 2017-12-23 15:38:46, GET, /admin/static/_2.16.1/images/delete_icon.png, HTTP/1.1, 200, 0.004344
127.0.0.1, 2017-12-23 15:38:58, POST, /admin/default/create_file, HTTP/1.1, 303, 0.033492
127.0.0.1, 2017-12-23 15:38:58, GET, /admin/default/design/MyApp, HTTP/1.1, 200, 0.128053
127.0.0.1, 2017-12-23 15:39:01, GET, /admin/default/peek/MyApp/controllers/test.py, HTTP/1.1, 200, 0.047502
127.0.0.1, 2017-12-23 15:39:03, GET, /admin/default/design/MyApp, HTTP/1.1, 200, 0.130609
127.0.0.1, 2017-12-23 15:39:05, GET, /admin/default/edit/MyApp/controllers/test.py, HTTP/1.1, 200, 0.050807
127.0.0.1, 2017-12-23 15:39:05, GET, /admin/static/_2.16.1/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000898
127.0.0.1, 2017-12-23 15:39:05, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001019
127.0.0.1, 2017-12-23 15:39:05, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001965
127.0.0.1, 2017-12-23 15:39:05, GET, /admin/static/_2.16.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000411
127.0.0.1, 2017-12-23 15:39:05, GET, /admin/static/_2.16.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000697
127.0.0.1, 2017-12-23 15:39:05, GET, /admin/static/_2.16.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000645
127.0.0.1, 2017-12-23 15:39:05, GET, /admin/static/_2.16.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.002933
127.0.0.1, 2017-12-23 15:39:05, GET, /admin/static/_2.16.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.003103
127.0.0.1, 2017-12-23 15:39:05, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000833
127.0.0.1, 2017-12-23 15:39:05, GET, /admin/static/_2.16.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.004096
127.0.0.1, 2017-12-23 15:39:05, GET, /admin/static/_2.16.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.008564
127.0.0.1, 2017-12-23 15:39:05, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.001943
